event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_250,815170,H. Hershfelt,62527,A. Hatch,5946,12.75,24.72,-5.94,21.92,8.92,10.6,9.51,-108.97,4.37,4,3,5.03,2.17,4231.0,True,False,False,33.542,2333,Team 2
7_254,62527,A. Hatch,662391,R. Kouassi,5985,4.38,25.79,9.57,15.25,8.25,7.58,83.87,3.53,125.93,3,1,11.98,1.94,,False,False,False,38.910000000000004,2333,Team 2
7_265,662391,R. Kouassi,815174,M. Morris,7964,38.52,19.42,35.67,29.3,10.63,10.37,-73.19,-159.19,-66.14,4,3,3.84,3.12,,True,False,True,53.336999999999996,2333,Team 2
7_269,62527,A. Hatch,59727,C. Krueger,8232,42.53,33.95,45.95,23.79,10.76,10.72,108.6,-72.15,99.47,4,-2,4.38,9.93,,False,False,False,38.45400000000001,2333,Team 2
7_278,62527,A. Hatch,815170,H. Hershfelt,8360,25.69,19.15,44.3,18.18,8.3,11.25,-154.64,-83.41,-167.76,9,-2,19.78,9.82,,True,False,False,69.997,2333,Team 2
7_285,815170,H. Hershfelt,662391,R. Kouassi,8412,28.63,23.74,29.05,5.59,7.4,10.98,105.74,-173.33,91.08,9,0,11.75,8.75,,False,False,False,63.36000000000001,2333,Team 2
7_290,817541,C. Dyke,62445,B. Banda,8488,-20.95,-11.71,-43.53,-17.44,21.27,24.97,18.51,-67.64,27.61,2,7,11.56,2.98,,True,False,True,43.941,2334,Team 1
7_295,62445,B. Banda,22542,Marta,8567,1.82,-17.43,3.68,-4.25,13.3,11.87,-94.06,7.69,-119.71,2,1,9.48,5.8,,False,True,False,40.21600000000001,2334,Team 1
7_303,62526,A. Kingsbury,149990,T. McKeown,8952,-19.5,-21.21,-38.96,-0.88,26.56,28.4,-45.97,-14.74,-45.95,10,0,30.01,19.41,442.0,False,False,False,51.757000000000005,2333,Team 2
7_306,149990,T. McKeown,627216,P. Metayer,8980,3.77,-33.98,-9.47,-23.38,10.54,12.19,-37.07,3.43,-52.75,1,7,11.16,7.45,,False,False,False,31.077,2333,Team 2
7_313,149990,T. McKeown,815170,H. Hershfelt,9094,14.52,-17.71,12.52,-28.84,8.22,8.51,72.91,-77.38,63.65,9,0,20.61,6.68,541.0,True,False,False,54.829,2333,Team 2
7_323,815170,H. Hershfelt,627216,P. Metayer,9558,0.54,-26.88,4.71,-19.3,8.83,8.65,-118.82,136.91,-112.58,9,-1,21.22,7.18,4321.0,False,False,False,67.154,2333,Team 2
7_326,627216,P. Metayer,57072,E. Morgan,9567,-6.29,-10.36,-0.04,-26.61,18.48,17.95,112.58,153.72,106.41,10,-1,26.96,10.06,4321.0,False,False,False,74.783,2333,Team 2
7_328,57072,E. Morgan,815170,H. Hershfelt,9590,-0.89,-15.7,-8.13,-10.45,9.21,8.94,-35.95,118.77,-34.07,8,2,20.09,5.89,442.0,True,False,False,53.50900000000001,2333,Team 2
7_331,815170,H. Hershfelt,68518,L. Santos,9597,4.74,-22.61,-1.07,-14.8,5.47,7.53,-50.17,18.21,-67.52,6,2,14.1,3.57,,True,False,False,40.567,2333,Team 2
7_335,68518,L. Santos,119153,T. Rodman,9616,11.73,-31.35,8.1,-22.91,3.74,4.93,-76.5,-4.36,-79.38,6,0,7.66,6.12,4321.0,False,False,False,33.752,2333,Team 2
7_354,151151,H. McCutcheon,62445,B. Banda,10479,1.83,9.9,-9.77,15.25,10.7,12.77,-24.76,73.02,-28.53,4,1,3.41,3.57,,True,False,True,32.832,2334,Team 1
7_356,815170,H. Hershfelt,57072,E. Morgan,10502,-7.5,-3.86,-1.21,-11.17,6.02,8.75,133.29,165.26,153.22,9,-1,42.53,8.48,,False,False,False,85.052,2333,Team 2
7_365,62389,Angelina,22542,Marta,10531,4.15,0.13,-7.89,3.02,12.41,12.38,-13.5,166.5,-12.76,6,1,11.67,5.78,,True,False,True,47.678,2334,Team 1
7_369,22542,Marta,151151,H. McCutcheon,10548,-5.54,6.72,0.78,2.18,6.86,7.78,144.31,124.22,142.16,7,-1,19.69,7.07,424.0,True,False,False,68.058,2334,Team 1
7_370,151151,H. McCutcheon,63540,Adriana,10563,9.04,11.76,-5.46,8.47,13.98,14.87,12.78,139.76,4.14,3,4,5.73,1.78,,True,False,True,40.870999999999995,2334,Team 1
7_373,627216,P. Metayer,815174,M. Morris,10577,13.76,-15.41,-4.76,-13.55,12.53,14.19,-17.13,-121.28,-17.13,4,3,5.12,6.07,,True,False,False,37.159,2333,Team 2
7_382,662391,R. Kouassi,119153,T. Rodman,10651,30.91,-26.87,16.69,-0.37,24.78,28.38,-60.63,3.01,-67.76,4,3,0.88,11.12,451.0,False,False,False,33.29,2333,Team 2
7_396,62389,Angelina,149882,K. Abello,11058,13.07,33.47,6.1,27.8,9.03,8.98,39.13,82.57,40.11,8,1,18.46,7.25,4321.0,False,False,False,46.17,2334,Team 1
7_409,62526,A. Kingsbury,149990,T. McKeown,11386,-23.25,-19.47,-26.61,-0.78,18.04,19.55,-78.55,-6.07,-70.44,10,0,31.34,15.85,442.0,False,False,False,55.418,2333,Team 2
7_410,149990,T. McKeown,62526,A. Kingsbury,11431,-25.15,-2.91,-19.99,-20.23,17.18,16.85,111.11,-141.3,108.08,10,0,36.15,12.16,442.0,False,False,False,78.846,2333,Team 2
7_412,62526,A. Kingsbury,149990,T. McKeown,11495,-17.79,-20.77,-24.92,0.83,21.3,22.31,-72.82,2.6,-71.98,10,0,29.31,20.02,442.0,False,False,False,53.781,2333,Team 2
7_413,149990,T. McKeown,62526,A. Kingsbury,11530,-24.21,-0.91,-16.43,-20.54,20.55,20.78,111.96,-154.13,108.44,10,0,39.77,17.87,442.0,False,False,False,81.929,2333,Team 2
7_414,62526,A. Kingsbury,57072,E. Morgan,11552,-14.12,18.87,-25.47,-1.03,20.37,22.59,61.72,112.69,57.35,10,0,29.92,18.83,442.0,False,False,False,62.481000000000016,2333,Team 2
7_418,62526,A. Kingsbury,149990,T. McKeown,11616,-12.96,-17.78,-28.63,4.35,26.46,28.22,-53.15,-95.02,-49.03,10,0,28.93,19.39,442.0,False,False,False,60.245000000000005,2333,Team 2
7_422,149990,T. McKeown,815174,M. Morris,11659,13.9,-12.79,-11.59,-22.94,21.87,25.51,22.18,-44.45,20.25,2,8,3.4,2.6,442.0,True,False,True,38.929,2333,Team 2
7_425,815174,M. Morris,119153,T. Rodman,11695,25.0,-25.91,25.87,-22.28,6.28,3.73,-103.48,-14.63,-174.79,2,0,4.06,0.55,,False,False,False,39.094,2333,Team 2
7_430,441597,E. Madril Sams,817541,C. Dyke,12027,-40.42,-30.89,-48.57,-12.32,14.28,17.24,-75.63,178.4,-79.3,10,0,41.87,15.14,4132.0,False,False,False,77.52399999999999,2334,Team 1
7_435,662391,R. Kouassi,59727,C. Krueger,12159,41.71,34.22,38.08,30.03,6.38,5.69,41.37,-101.84,40.23,4,2,1.96,6.73,,False,False,False,32.891999999999996,2333,Team 2
7_445,149990,T. McKeown,62527,A. Hatch,12747,40.24,-8.4,33.63,-4.76,5.91,7.55,-28.84,175.76,11.33,7,2,4.48,4.55,,False,True,True,49.196000000000005,2333,Team 2
7_447,62527,A. Hatch,149990,T. McKeown,12761,34.45,-9.56,37.43,-9.86,0.53,0.91,-67.38,-39.96,170.18,4,3,7.87,0.91,,False,True,True,51.664,2333,Team 2
7_453,62389,Angelina,149954,K. Strom,13079,-31.73,26.49,-17.61,24.61,12.68,13.94,160.6,159.18,152.79,10,-2,40.76,9.83,433.0,False,False,False,88.47500000000001,2334,Team 1
7_456,149954,K. Strom,149882,K. Abello,13114,-20.92,33.11,-31.31,29.3,11.08,11.07,20.14,75.47,23.56,7,3,27.64,7.6,433.0,False,False,False,48.041,2334,Team 1
7_459,149882,K. Abello,63540,Adriana,13136,2.0,22.71,-17.64,32.81,14.62,18.39,-30.05,-4.02,-36.63,4,3,7.33,4.63,433.0,True,False,False,30.695,2334,Team 1
7_462,63540,Adriana,22542,Marta,13166,4.41,33.09,9.46,22.8,15.68,11.46,116.14,-11.09,136.21,6,-2,15.58,8.09,4312.0,False,False,False,48.22,2334,Team 1
7_468,22542,Marta,149882,K. Abello,13227,9.13,27.58,19.79,19.37,11.73,10.65,117.53,22.49,111.97,7,0,25.87,7.79,,False,False,False,56.095000000000006,2334,Team 1
7_481,62526,A. Kingsbury,149990,T. McKeown,13728,-28.93,-21.03,-33.88,0.2,19.44,21.45,-77.12,-20.41,-70.19,10,0,33.39,16.71,442.0,False,False,False,57.957,2333,Team 2
7_483,149990,T. McKeown,119153,T. Rodman,13757,4.34,-27.4,-25.68,-23.42,23.66,27.0,1.12,-45.7,2.35,4,6,0.56,6.88,442.0,False,False,True,32.419,2333,Team 2
7_491,149882,K. Abello,62389,Angelina,13815,-5.34,25.92,-11.77,30.56,5.92,6.44,-57.74,-145.85,-54.0,8,0,20.7,2.96,541.0,True,False,False,57.293,2334,Team 1
7_505,815170,H. Hershfelt,68518,L. Santos,13925,5.32,-1.58,6.8,-8.03,3.31,5.64,100.63,60.95,94.16,7,-1,15.16,7.68,,True,False,False,49.111,2333,Team 2
7_507,68518,L. Santos,662391,R. Kouassi,13940,14.01,7.49,6.91,1.64,5.94,9.93,49.86,78.42,57.38,5,1,7.66,5.96,4231.0,False,False,False,36.486000000000004,2333,Team 2
7_512,62389,Angelina,62445,B. Banda,14660,12.31,-23.21,-4.7,-18.99,11.23,17.53,-13.93,9.26,-30.04,0,7,3.67,1.09,,False,False,True,25.309,2334,Team 1
7_517,68518,L. Santos,59727,C. Krueger,15017,-41.67,25.79,-40.42,22.67,2.72,3.15,119.09,-161.83,124.68,10,0,28.34,3.44,,False,False,False,76.858,2333,Team 2
